market,stock_no,stock_name,date,strategy,reason,score,score_label,score_reasons,volume_ratio,ma20_slope_pct,ma60_slope_pct,close,volume,ma5,ma10,ma20,ma60,source,chart_path
TWSE,3008,大立光,2026-06-08,群聯策略,主升段回測月線,5,5/5,短中期均線維持多頭排列、月線與季線同步上揚、季線站在半年線之上、回測月線後收盤守住、低點貼近月線，回測位置乾淨,1.16,19.35,13.61,3535.0,2683427,3683.0,3639.5,3352.5,2731.6666666666665,data/all_twse/3008_2025-06-01_2026-06-01.csv,
TWSE,3014,聯陽,2026-06-08,台積電策略,跌破月線且均線多頭,4,4/5,短中期均線維持多頭排列、月線與季線同步上揚、季線站在半年線之上、紅K收在當日相對高位,0.65,8.84,6.93,142.5,2307834,150.4,150.1,144.025,128.525,data/all_twse/3014_2025-06-01_2026-06-01.csv,
TWSE,3022,威強電,2026-06-08,台積電策略,主升段回測10MA,5,5/5,短中期均線維持多頭排列、月線與季線同步上揚、季線站在半年線之上、回測10MA後收盤守住、低點貼近10MA，回測位置乾淨,3.86,3.1,5.62,79.0,5214578,76.95999999999997,75.18999999999997,72.035,68.05666666666667,data/all_twse/3022_2025-06-01_2026-06-01.csv,
TWSE,3022,威強電,2026-06-08,群聯策略,主升段回測10MA,5,5/5,短中期均線維持多頭排列、月線與季線同步上揚、季線站在半年線之上、回測10MA後收盤守住、低點貼近10MA，回測位置乾淨,3.86,3.1,5.62,79.0,5214578,76.95999999999997,75.18999999999997,72.035,68.05666666666667,data/all_twse/3022_2025-06-01_2026-06-01.csv,
TWSE,3025,星通,2026-06-08,台積電策略,主升段回測月線,4,4/5,月線仍在季線之上、月線與季線同步上揚、回測月線後收盤守住、紅K收在當日相對高位,0.76,10.29,4.03,71.3,1123433,72.20000000000002,74.16000000000005,67.78999999999999,63.71000000000001,data/all_twse/3025_2025-06-01_2026-06-01.csv,
TWSE,3025,星通,2026-06-08,群聯策略,主升段回測月線,4,4/5,月線仍在季線之上、月線與季線同步上揚、回測月線後收盤守住、紅K收在當日相對高位,0.76,10.29,4.03,71.3,1123433,72.20000000000002,74.16000000000005,67.78999999999999,63.71000000000001,data/all_twse/3025_2025-06-01_2026-06-01.csv,
TWSE,3032,偉訓,2026-06-08,台積電策略,主升段回測月線,5,5/5,月線仍在季線之上、月線與季線同步上揚、回測月線後收盤守住、近12日首次回測月線區、紅K收在當日相對高位,0.79,17.31,6.35,89.9,2152222,89.39999999999992,89.60999999999999,83.87999999999992,70.54999999999998,data/all_twse/3032_2025-06-01_2026-06-01.csv,
TWSE,3032,偉訓,2026-06-08,群聯策略,主升段回測月線,5,5/5,月線仍在季線之上、月線與季線同步上揚、回測月線後收盤守住、近12日首次回測月線區、紅K收在當日相對高位,0.79,17.31,6.35,89.9,2152222,89.39999999999992,89.60999999999999,83.87999999999992,70.54999999999998,data/all_twse/3032_2025-06-01_2026-06-01.csv,
TWSE,3034,聯詠,2026-06-08,台積電策略,跌破月線且均線多頭,4,4/5,短中期均線維持多頭排列、月線與季線同步上揚、季線站在半年線之上、紅K收在當日相對高位,0.61,7.47,9.25,473.0,4794152,489.1,487.5,485.05,427.7416666666667,data/all_twse/3034_2025-06-01_2026-06-01.csv,
TWSE,3042,晶技,2026-06-08,台積電策略,主升段回測10MA,5,5/5,短中期均線維持多頭排列、月線與季線同步上揚、季線站在半年線之上、回測10MA後收盤守住、紅K收在當日相對高位,1.01,16.29,26.76,210.5,22132239,210.10000000000008,203.85,177.02500000000003,139.11499999999995,data/all_twse/3042_2025-06-01_2026-06-01.csv,
